project name,subsector,match_score,Expenditures (million USD),food system indicator,Value,benchmark
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Agri-food systems greenhouse gas emissions,62399.8,83110.22
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Agri-food systems greenhouse gas emissions per person,1205.5138,3001.2053
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Agricultural land as percentage of country land area,49.106873,35.627304
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Agricultural land change during the last 10 years,984.35626,-42.99038
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Agriculture water withdrawal as percent of total renewable water resources,10.534202,56.100548
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Agrobiodiversity index,62.19,48.811073
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Average proportion of natural vegetation embedded in agricultural lands,,
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Average tree cover in agricultural land,,
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Biodiversity impact of food consumption per person,,
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Comprehensiveness of conservation of useful wild plants,3.44,1.0948215
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Cropland area change,0.14794132,0.22971423
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Environmental performance index score,,
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Eutrophication of food consumption per person,,
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Fishery health index progress score,6.1140156,22.136595
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Functional integrity: Agricultural land with minimum level of natural habitat,,
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Greenhouse gas emissions from agriculture,53687.45,26654.816
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Greenhouse gas emissions intensity for beef,90.86325,49.399456
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Greenhouse gas emissions intensity for cereals (excluding rice),0.18090001,3.3938584
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Greenhouse gas emissions intensity for chicken,1.5785,1.3314655
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Greenhouse gas emissions intensity for cow's milk,2.282425,3.1254506
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Greenhouse gas emissions intensity for eggs,1.220075,0.90055376
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Greenhouse gas emissions intensity for pork,5.250575,5.19145
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Greenhouse gas emissions intensity for rice,0.47215,19.17308
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Greenhouse gas emissions of food consumption per person,,
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Integrated plant nutrient management,64.07,62.105766
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Number of Earths required,0.6085919,2.6408045
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Percent intact area,,
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Pesticide use per area of cropland,0.84499997,4.867729
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Soil biodiversity threats index,,
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Sustainable nitrogen management index,35.93,37.894234
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Total ecological footprint of food consumption per person,1.02,3.2077005
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Total ecological footprint of food production per person,0.84,2.9636364
Africa Environmental Health and Pollution Management Project,Environmental impacts,76,0.165539776,Water use linked to food consumption per person,,
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Agri-food systems greenhouse gas emissions,62399.8,83110.22
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Agri-food systems greenhouse gas emissions per person,1205.5138,3001.2053
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Agricultural land as percentage of country land area,49.106873,35.627304
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Agricultural land change during the last 10 years,984.35626,-42.99038
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Agriculture water withdrawal as percent of total renewable water resources,10.534202,56.100548
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Agrobiodiversity index,62.19,48.811073
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Average proportion of natural vegetation embedded in agricultural lands,,
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Average tree cover in agricultural land,,
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Biodiversity impact of food consumption per person,,
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Comprehensiveness of conservation of useful wild plants,3.44,1.0948215
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Cropland area change,0.14794132,0.22971423
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Environmental performance index score,,
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Eutrophication of food consumption per person,,
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Fishery health index progress score,6.1140156,22.136595
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Functional integrity: Agricultural land with minimum level of natural habitat,,
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Greenhouse gas emissions from agriculture,53687.45,26654.816
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Greenhouse gas emissions intensity for beef,90.86325,49.399456
Africa Environmental Management Health & Pollution Project,Environmental impacts,76,0.801415818,Greenhouse gas emissions intensity for cereals (excluding rice),0.18090001,3.3938584
